N 87
W 5353683 -11350844
W 5353634 -11350836
W 5353594 -11350831
W 5353506 -11350825
W 5353476 -11350823
W 5353467 -11350819
W 5353461 -11350815
W 5353454 -11350808
W 5353449 -11350799
W 5353444 -11350784
W 5353442 -11350770
W 5353437 -11350745
W 5353440 -11350730
W 5353445 -11350658
W 5353446 -11350613
W 5353444 -11350577
W 5353440 -11350522
W 5353433 -11350477
W 5353419 -11350422
W 5353404 -11350285
W 5353390 -11350285
W 5353387 -11350102
W 5353387 -11349921
W 5353386 -11349884
W 5353387 -11349735
W 5353387 -11349549
W 5353395 -11349466
W 5353410 -11349401
W 5353417 -11349380
W 5353426 -11349349
W 5353465 -11349254
W 5353493 -11349171
W 5353521 -11349060
W 5353554 -11348917
W 5353577 -11348765
W 5353593 -11348615
W 5353596 -11348587
W 5353604 -11348425
W 5353601 -11348346
W 5353591 -11348264
W 5353579 -11348215
W 5353556 -11348176
W 5353531 -11348163
W 5353512 -11348163
W 5353494 -11348170
W 5353448 -11348208
W 5353417 -11348238
W 5353394 -11348252
W 5353383 -11348257
W 5353374 -11348259
W 5353364 -11348257
W 5353354 -11348254
W 5353343 -11348248
W 5353334 -11348239
W 5353327 -11348229
W 5353319 -11348217
W 5353310 -11348199
W 5353302 -11348180
W 5353296 -11348160
W 5353288 -11348092
W 5353285 -11348031
W 5353285 -11347940
W 5353287 -11347916
W 5353291 -11347884
W 5353301 -11347833
W 5353307 -11347751
W 5353308 -11347704
W 5353300 -11347559
W 5353267 -11347400
W 5353229 -11347292
W 5353168 -11347154
W 5353151 -11347120
W 5353101 -11347013
W 5353053 -11346928
W 5352997 -11346828
W 5352947 -11346723
W 5352932 -11346688
W 5352866 -11346532
W 5352835 -11346459
W 5352792 -11346377
W 5352750 -11346297
W 5352713 -11346227
W 5352671 -11346147
W 5352545 -11345922
W 5352530 -11345899
W 5352504 -11345853
W 5352487 -11345827
E
